OBJECTID,Route,Signing,Qualifier,Ramp,DOT ID,County Order,Factor Group,Station Start,Station End,HPMS Sample ID,Bridge ID,Railroad Crossing,NHS,Roadway Name,Roadway Number,Speed,Oneway,Region County Station,Station ID,Route ID,From Measure,To Measure,COUNT_STATS_ID,County FIPS,Station Number,Continuous Count Site ID,Functional Class,Federal Direction,Full Count,Oneway Flag,Calculation Year,AE_Flag,AADT,DHV,DDHV,Single Unit AADT,Combination Unit AADT,Most Recent Count Year,Most Recent AADT,K-Factor,D-Factor,2nd Most Recent Count Year,2nd Most Recent AADT,3rd Most Recent Count Year,3rd Most Recent AADT,4th Most Recent Count Year,4th Most Recent AADT,Class Count Year,Class F3 - F13 %,Truck or Heavy Vehicle %,Single Unit Truck or Bus %,Combination Truck %,Motorcycle %,Passenger Vehicle %,Light Duty Truck %,Bus %,Single Unit Truck %,Axle Factor,Single Unit Peak %,CU_Peak,Class Group Year,Speed Count Year,Speed Limit,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55 mph,Vehicles Exceeding 65 mph,Average K-Factor,Average D-Factor,NYS Direction Code,Truck AADT,Symbolized Truck Percentage AADT,Truck AADT Type (Actual vs. Estimated),Truck Percent Source Field Name,Region Name,Region Number,County Number,Morning Highest Value,Afternoon Highest Value,Evening Highest Value
11603,1,2,1, ,100011,2,30,END I95/US1 OLAP WEBSTER AVE,E FORDHAM RD, , , ,Y,WEBSTER AVE, ,50, ,10004,010004,100011022,0,0.19,39186168,005,0004,,14,Combined Total,Y,,2019,F,15127,945,544,307,369,2018,15198,6,58,2015,17188,2013,26223,2009,16358,2018,14,4,2,2,1,85,10,0,2,1,0,0,2019,2018,25,25,27,32,0,0,13.07251072,59.18663025,0,676,4,Actual,,,,,1002,926,1045
11585,1,2,1, ,100011,2,30,END I95/US1 OLAP WEBSTER AVE,E FORDHAM RD, , , ,Y,WEBSTER AVE, ,50, ,10004,010004,256055011,1.22,2.58,39186168,005,0004,,14,Combined Total,Y,,2019,F,15127,945,544,307,369,2018,15198,6,58,2015,17188,2013,26223,2009,16358,2018,14,4,2,2,1,85,10,0,2,1,0,0,2019,2018,25,25,27,32,0,0,13.07251072,59.18663025,0,676,4,Actual,,,,,1002,926,1045
11574,1,2,1, ,100011,2,30,E FORDHAM RD,RT 907H BRONX RIVER PKWY SOU, ,2241839, ,Y,E FORDHAM RD, ,30, ,10005,010005,100011021,2.72,3.83,39153182,005,0005,,14,Combined Total,Y,,2019,F,32103,2090,1061,2364,28,2018,32254,7,51,2016,35379,2009,35981,2008,35307,2018,7,7,7,0,0,92,0,6,1,1,1,0,2019,,,,,,,,13.07251072,59.18663025,0,2392,7,Actual,,,,,2169,1688,1949
11568,1,2,1, ,100011,2,30,E FORDHAM RD,RT 907H BRONX RIVER PKWY SOU, ,2241839, ,Y,E FORDHAM RD, ,30, ,10005,010005,255841011,0.53,1.64,39153182,005,0005,,14,Combined Total,Y,,2019,F,32103,2090,1061,2364,28,2018,32254,7,51,2016,35379,2009,35981,2008,35307,2018,7,7,7,0,0,92,0,6,1,1,1,0,2019,,,,,,,,13.07251072,59.18663025,0,2392,7,Actual,,,,,2169,1688,1949
11559,1,2,1, ,100011,2,30,RT 907H BRONX RIVER PKWY SOU,RT 907F PELHAM PKWY BOSTON P, , , ,Y,E FORDHAM RD, ,30, ,10006,010006,100011021,3.83,4.01,39100897,005,0006,,14,Combined Total,Y,,2019,A,47203,3134,1611,1777,24,2019,47203,7,51,2009,48656,2008,47534,,,2019,4,4,4,0,0,96,0,3,1,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1801,4,Actual,,,,,2853,2888,3303
11550,1,2,1, ,100011,2,30,RT 907H BRONX RIVER PKWY SOU,RT 907F PELHAM PKWY BOSTON P, , , ,Y,E FORDHAM RD, ,30, ,10006,010006,255841011,1.64,1.82,39100897,005,0006,,14,Combined Total,Y,,2019,A,47203,3134,1611,1777,24,2019,47203,7,51,2009,48656,2008,47534,,,2019,4,4,4,0,0,96,0,3,1,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1801,4,Actual,,,,,2853,2888,3303
11542,1,2,1, ,100011,2,30,RT 907F PELHAM PKWY BOSTON P,GUN HILL RD, , , ,Y,BOSTON RD, ,30, ,10007,010007,100011021,4.03,5.43,39153143,005,0007,,14,Combined Total,Y,,2019,F,14319,965,507,902,67,2011,14875,7,52,2008,15015,2007,16710,2004,17063,2007,,7,6,0,,,,,,,0,0,2019,,,,,,,,13.07251072,59.18663025,0,969,7,Actual,,,,,819,967,1103
167138,1,2,1, ,100011,2,30,RT 907F PELHAM PKWY BOSTON P,GUN HILL RD, , , ,Y,BOSTON RD, ,30, ,10007,010007,100011021,4.01,5.44,39153143,005,0007,,14,Combined Total,Y,,2019,F,14319,965,507,902,67,2011,14875,7,52,2008,15015,2007,16710,2004,17063,2007,,7,6,0,,,,,,,0,0,2019,,,,,,,,13.07251072,59.18663025,0,969,7,Actual,,,,,819,967,1103
12028,,,1, ,255740,1,30,GUN HILL RD,RT 22 PROVOST AVE, , , ,Y,BOSTON RD, ,30, ,10008,010008,255740011,4.66,6.3,39236777,005,0008,,14,Combined Total,Y,,2019,A,28289,2043,1255,1908,240,2019,28289,7,61,2009,21531,2008,23645,2005,24540,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,2148,8,Estimated,,,,,1774,1822,2274
11509,1,2,1, ,100011,2,30,GUN HILL RD,RT 22 PROVOST AVE, , , ,Y,BOSTON RD, ,30, ,10008,010008,100011021,5.44,7.05,39236777,005,0008,,14,Combined Total,Y,,2019,A,28289,2043,1255,1908,240,2019,28289,7,61,2009,21531,2008,23645,2005,24540,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,2148,8,Estimated,,,,,1774,1822,2274
11248,1,2,1, ,100011,2,30,RT 22 PROVOST AVE,Bronx/West Co Line, ,2229579, ,Y,BOSTON RD, ,30, ,10009,010009,100011021,7.05,7.58,39225557,005,0009,0182,14,Combined Total,Y,,2019,A,21682,2305,1537,1034,127,2019,21682,11,67,2018,21014,2015,22471,2014,23301,2018,5,5,5,1,0,95,0,2,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1161,5,Actual,,,,,1107,1455,1557
11780,,,1, ,255740,1,30,RT 22 PROVOST AVE,Bronx/West Co Line, ,2229579, ,Y,BOSTON RD, ,30, ,10009,010009,255740011,6.3,6.83,39225557,005,0009,0182,14,Combined Total,Y,,2019,A,21682,2305,1537,1034,127,2019,21682,11,67,2018,21014,2015,22471,2014,23301,2018,5,5,5,1,0,95,0,2,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1161,5,Actual,,,,,1107,1455,1557
11000,9,2,1, ,100514,2,30,NY/Bronx Co Line,VAN CORTLAND SOUTH, , , ,Y,BROADWAY, ,30, ,10010,010010,100514021,0,0.82,39186685,005,0010,,14,Combined Total,Y,,2019,A,14636,1137,657,844,10,2019,14636,8,58,2009,15156,2005,13143,2002,11501,2019,6,6,6,0,0,94,0,4,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,854,6,Actual,,,,,763,873,1095
11444,9,2,1, ,100514,2,30,VAN CORTLAND SOUTH,START 9/9A OLAP H.H. PKY, , , ,Y,BROADWAY, ,30, ,10011,010011,100514021,0.82,1.78,39238709,005,0011,,14,Combined Total,Y,,2019,A,13048,980,561,1216,135,2019,13048,8,57,2011,15945,2008,16725,2007,17912,2019,15,10,9,1,0,85,5,6,4,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1351,10,Actual,,,,,894,769,1075
11188,9,2,1, ,100514,2,30,START 9/9A OLAP H.H. PKY,Bronx/West Co Line, , , ,Y,BROADWAY, ,10, ,10012,010012,100514021,1.78,2.58,39184212,005,0012,0181,14,Combined Total,Y,,2019,A,16893,788,495,924,106,2019,16893,5,63,2015,11876,2014,11626,2013,13778,2019,11,6,5,1,0,89,5,4,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1030,6,Actual,,,,,1092,805,1198
11962,9,2,1, ,100514,2,30,START 9/9A OLAP H.H. PKY,Bronx/West Co Line, , , ,Y,BROADWAY, ,10, ,10012,010012,100503021,2.45,3.25,39184212,005,0012,0181,14,Combined Total,Y,,2019,A,16893,788,495,924,106,2019,16893,5,63,2015,11876,2014,11626,2013,13778,2019,11,6,5,1,0,89,5,4,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1030,6,Actual,,,,,1092,805,1198
11713,9A,3,1, ,100503,2,30,NY/Bronx Co Line,RIVERDALE AVE OVER, ,5521258, ,Y,HENRY HUDSON PK, ,50, ,10014,010014,100503021,0,1.04,39251718,005,0014,,12,Combined Total,Y,,2019,A,80577,5939,3043,846,1,2019,80577,7,51,2015,63544,2011,61277,2010,63392,2019,4,1,1,0,0,95,3,1,0,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,847,1,Actual,,,,,5674,4534,6408
10941,9A,3,1, ,100503,2,30,NY/Bronx Co Line,RIVERDALE AVE OVER, ,5521258, ,Y,HENRY HUDSON PK, ,50, ,10014,010014,100545021,0,1.04,39251718,005,0014,,12,Combined Total,Y,,2019,A,80577,5939,3043,846,1,2019,80577,7,51,2015,63544,2011,61277,2010,63392,2019,4,1,1,0,0,95,3,1,0,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,847,1,Actual,,,,,5674,4534,6408
11902,695,1,1, ,271315,1,30,I-295,ACC I-95, ,1066170, ,Y,THROGS NECK EXP, ,55, ,10015,010015,271315012,0,1.51,39235165,005,0015,,11,Combined Total,Y,,2019,F,53568,4191,2312,1858,2249,2018,53409,8,55,2016,48782,,,,,2018,15,8,3,4,0,85,7,1,3,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,4107,8,Actual,,,,,4567,2979,3588
11456,695,1,1, ,271315,1,30,I-295,ACC I-95, ,1066170, ,Y,THROGS NECK EXP, ,55, ,10015,010015,271315011,0,1.73,39235165,005,0015,,11,Combined Total,Y,,2019,F,53568,4191,2312,1858,2249,2018,53409,8,55,2016,48782,,,,,2018,15,8,3,4,0,85,7,1,3,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,4107,8,Actual,,,,,4567,2979,3588
11654,9A,3,1, ,100503,2,30,RIVERDALE AVE OVER,END 9A/907V OLAP & RT 9 OVER, ,2229530, ,Y,HENRY HUDSON PK, ,50, ,10016,010016,100545021,1.04,2.33,39247850,005,0016,,12,Combined Total,Y,,2019,A,79228,6702,3468,812,1,2019,79228,8,52,2011,79733,2007,65348,2004,77916,2019,4,1,1,0,0,96,3,1,0,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,813,1,Actual,,,,,5219,3969,6454
11121,9A,3,1, ,100503,2,30,RIVERDALE AVE OVER,END 9A/907V OLAP & RT 9 OVER, ,2229530, ,Y,HENRY HUDSON PK, ,50, ,10016,010016,100503021,1.04,2.33,39247850,005,0016,,12,Combined Total,Y,,2019,A,79228,6702,3468,812,1,2019,79228,8,52,2011,79733,2007,65348,2004,77916,2019,4,1,1,0,0,96,3,1,0,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,813,1,Actual,,,,,5219,3969,6454
11397,22,3,1, ,100171,1,30,RT 1,EAST 233RD ST, , , ,Y,PROVOST AVE, ,30, ,10018,010018,100171011,0,0.19,39133062,005,0018,,14,Combined Total,Y,,2019,A,14769,1007,532,1254,599,2019,14769,7,53,2016,13292,2010,14509,2008,13929,2019,20,13,8,4,0,80,7,1,8,1,0,0,2019,2016,25,20,23,29,0,0,13.07251072,59.18663025,0,1853,13,Actual,,,,,942,980,1086
11921,22,3,1, ,100171,1,30,EAST 233RD ST,Bronx/West Co Line, , , ,Y,PROVOST AVE, ,30, ,10019,010019,100171011,0.19,0.36,39170896,005,0019,,14,Combined Total,Y,,2019,A,10231,745,410,1381,238,2019,10231,7,55,2011,10299,2008,9803,2004,10127,2011,18,16,13,2,0,82,3,2,12,1,1,0,2019,,,,,,,,13.07251072,59.18663025,0,1619,16,Actual,,,,,533,717,695
11599,87,1,1, ,100495,1,30,Mrg I278 WB Off Ramp,Willis Ave (Over), ,106666C, ,Y,Major Deegan Ex, ,50, ,10020,010020,100495011,0.26,0.64,39219045,005,0020,,11,Combined Total,Y,,2019,F,98479,5639,2976,7122,2545,2017,97895,6,53,2011,108359,2007,111422,2004,102776,2017,16,10,7,3,0,84,6,2,5,1,1,0,2019,,,,,,,,13.07251072,59.18663025,0,9667,10,Actual,,,,,6676,5975,6340
11144,87,1,1, ,100495,1,30,I87 NB (ON),ACC WILLIS AVE, ,1066759, ,Y,Major Deegan Ex, ,50, ,10020,010020,100495012,0.31,0.56,39219045,005,0020,,11,Combined Total,Y,,2019,F,98479,5639,2976,7122,2545,2017,97895,6,53,2011,108359,2007,111422,2004,102776,2017,16,10,7,3,0,84,6,2,5,1,1,0,2019,,,,,,,,13.07251072,59.18663025,0,9667,10,Actual,,,,,6676,5975,6340
11337,87,1,1, ,100495,1,30,ACC WILLIS AVE,ACC EAST 138TH ST, ,1067979, ,Y,Major Deegan Ex, ,50, ,10021,010021,100495011,0.64,1.05,39240964,005,0021,,11,Combined Total,Y,,2019,F,111309,6407,3404,8323,3391,2017,114419,6,53,2010,100996,2009,108093,2006,111867,2017,17,11,7,3,0,83,7,2,6,1,1,0,2019,,,,,,,,13.07251072,59.18663025,0,11714,11,Actual,,,,,7028,6205,6417
11338,87,1,1, ,100495,1,30,ACC WILLIS AVE,ACC EAST 138TH ST, ,1067979, ,Y,Major Deegan Ex, ,50, ,10021,010021,100495011,0.64,1.05,39240964,005,0021,,11,Combined Total,Y,,2019,F,111309,6407,3404,8323,3391,2017,114419,6,53,2010,100996,2009,108093,2006,111867,2017,17,11,7,3,0,83,7,2,6,1,1,0,2019,,,,,,,,13.07251072,59.18663025,0,11714,11,Actual,,,,,6337,6468,6779
10845,87,1,1, ,100495,1,30,ACC WILLIS AVE,ACC EAST 138TH ST, ,1067979, ,Y,Major Deegan Ex, ,50, ,10021,010021,100495012,0.56,0.96,39240964,005,0021,,11,Combined Total,Y,,2019,F,111309,6407,3404,8323,3391,2017,114419,6,53,2010,100996,2009,108093,2006,111867,2017,17,11,7,3,0,83,7,2,6,1,1,0,2019,,,,,,,,13.07251072,59.18663025,0,11714,11,Actual,,,,,7028,6205,6417
10846,87,1,1, ,100495,1,30,ACC WILLIS AVE,ACC EAST 138TH ST, ,1067979, ,Y,Major Deegan Ex, ,50, ,10021,010021,100495012,0.56,0.96,39240964,005,0021,,11,Combined Total,Y,,2019,F,111309,6407,3404,8323,3391,2017,114419,6,53,2010,100996,2009,108093,2006,111867,2017,17,11,7,3,0,83,7,2,6,1,1,0,2019,,,,,,,,13.07251072,59.18663025,0,11714,11,Actual,,,,,6337,6468,6779
11614,87,1,1, ,100495,1,30,ACC EAST 138TH ST,ACC MACOMBS DAM BRIDGE, ,1066809, ,Y,Major Deegan Ex, ,50, ,10023,010023,100495011,1.08,2.34,39227663,005,0023,,11,Combined Total,Y,,2019,F,119390,6879,3573,8082,3730,2017,118682,6,52,2009,97349,2005,103836,,,2017,17,10,7,3,0,83,7,1,6,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,11812,10,Actual,,,,,7925,6532,7058
12048,87,1,1, ,100495,1,30,ACC EAST 138TH ST,ACC MACOMBS DAM BRIDGE, ,1066809, ,Y,Major Deegan Ex, ,50, ,10023,010023,100495012,1.2,2.39,39227663,005,0023,,11,Combined Total,Y,,2019,F,119390,6879,3573,8082,3730,2017,118682,6,52,2009,97349,2005,103836,,,2017,17,10,7,3,0,83,7,1,6,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,11812,10,Actual,,,,,7925,6532,7058
11811,87,1,1, ,100495,1,30,ACC MACOMBS DAM BRIDGE,ACC 95I CROSS BRNX EPY, , , ,Y,Major Deegan Ex, ,50, ,10024,010024,100495012,2.39,3.44,39253660,005,0024,,11,Combined Total,Y,,2019,F,144185,8948,4707,8600,3831,2017,143329,6,53,2010,91465,2007,134310,2004,104747,2017,15,9,6,3,0,85,7,1,5,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,12431,9,Actual,,,,,8209,6511,8530
11277,87,1,1, ,100495,1,30,ACC MACOMBS DAM BRIDGE,ACC 95I CROSS BRNX EPY, , , ,Y,Major Deegan Ex, ,50, ,10024,010024,100495011,2.34,3.3,39253660,005,0024,,11,Combined Total,Y,,2019,F,144185,8948,4707,8600,3831,2017,143329,6,53,2010,91465,2007,134310,2004,104747,2017,15,9,6,3,0,85,7,1,5,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,12431,9,Actual,,,,,8209,6511,8530
11551,87,1,1, ,100495,1,30,ACC 95I CROSS BRNX EPY,ACC W FORDHAM RD, , , ,Y,Major Deegan Ex, ,50, ,10025,010025,100495011,3.3,4.66,39167607,005,0025,,11,Combined Total,Y,,2019,F,137805,8482,4708,8205,3552,2018,137395,6,56,2016,133650,2010,107268,2009,119839,2018,15,9,6,3,0,85,6,1,5,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,11757,9,Actual,,,,,9612,7575,9238
11030,87,1,1, ,100495,1,30,ACC 95I CROSS BRNX EPY,ACC W FORDHAM RD, , , ,Y,Major Deegan Ex, ,50, ,10025,010025,100495012,3.44,4.96,39167607,005,0025,,11,Combined Total,Y,,2019,F,137805,8482,4708,8205,3552,2018,137395,6,56,2016,133650,2010,107268,2009,119839,2018,15,9,6,3,0,85,6,1,5,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,11757,9,Actual,,,,,9612,7575,9238
10811,87,1,1, ,100495,1,30,ACC W FORDHAM RD,ACC WEST 230TH ST, , , ,Y,Major Deegan Ex, ,50, ,10026,010026,100495012,4.96,6.05,39223103,005,0026,,11,Combined Total,Y,,2019,F,158432,9645,5371,7193,3710,2017,157492,6,56,2011,133020,2006,115134,2002,102602,2017,12,7,5,2,0,88,5,1,4,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,10903,7,Actual,,,,,9290,7738,9140
11218,87,1,1, ,100495,1,30,ACC W FORDHAM RD,ACC WEST 230TH ST, , , ,Y,Major Deegan Ex, ,50, ,10026,010026,100495011,4.66,5.82,39223103,005,0026,,11,Combined Total,Y,,2019,F,158432,9645,5371,7193,3710,2017,157492,6,56,2011,133020,2006,115134,2002,102602,2017,12,7,5,2,0,88,5,1,4,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,10903,7,Actual,,,,,9290,7738,9140
11744,87,1,1, ,100495,1,30,ACC HENRY HUDSON PKWY,ACC EAST 233 ST, ,1067030, ,Y,Major Deegan Ex, ,50, ,10027,010027,100495011,7.12,7.46,39121413,005,0027,0180,11,Combined Total,Y,,2019,A,132032,9084,5376,5283,2982,2019,132032,7,59,2017,160733,2011,119904,2010,125247,2017,12,6,4,2,0,88,5,1,3,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,8265,6,Actual,,,,,7373,6501,8360
10967,87,1,1, ,100495,1,30,ACC HENRY HUDSON PKWY,ACC EAST 233 ST, ,1067030, ,Y,Major Deegan Ex, ,50, ,10027,010027,100495012,7.17,7.51,39121413,005,0027,0180,11,Combined Total,Y,,2019,A,132032,9084,5376,5283,2982,2019,132032,7,59,2017,160733,2011,119904,2010,125247,2017,12,6,4,2,0,88,5,1,3,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,8265,6,Actual,,,,,7373,6501,8360
12014,87,1,1, ,100495,1,30,ACC VAN CORTLAND PARK,ACC HENRY HUDSON PKWY, ,1067029, ,Y,Major Deegan Ex, ,50, ,10028,010028,100495012,6.84,7.17,39250830,005,0028,,11,Combined Total,Y,,2019,F,142708,9364,5385,6870,3210,2017,141861,7,58,2011,92411,2005,99632,2002,137070,2017,12,7,5,2,0,88,5,1,4,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,10080,7,Actual,,,,,9209,7594,9843
11491,87,1,1, ,100495,1,30,ACC VAN CORTLAND PARK,ACC HENRY HUDSON PKWY, ,1067029, ,Y,Major Deegan Ex, ,50, ,10028,010028,100495011,6.78,7.12,39250830,005,0028,,11,Combined Total,Y,,2019,F,142708,9364,5385,6870,3210,2017,141861,7,58,2011,92411,2005,99632,2002,137070,2017,12,7,5,2,0,88,5,1,4,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,10080,7,Actual,,,,,9209,7594,9843
11234,87,1,1, ,100495,1,30,ACC EAST 233 ST,Bronx/West Co Line, ,1075899, ,Y,Major Deegan Ex, ,50, ,10030,010030,100495011,7.46,8.58,39229092,005,0030,,11,Combined Total,Y,,2019,F,107924,8104,4909,5283,3306,2017,107284,8,61,2011,86203,2009,85209,2008,90720,2017,14,8,5,3,0,86,6,1,4,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,8589,8,Actual,,,,,6174,5716,7292
11764,87,1,1, ,100495,1,30,ACC EAST 233 ST,Bronx/West Co Line, ,1075899, ,Y,Major Deegan Ex, ,50, ,10030,010030,100495012,7.51,8.51,39229092,005,0030,,11,Combined Total,Y,,2019,F,107924,8104,4909,5283,3306,2017,107284,8,61,2011,86203,2009,85209,2008,90720,2017,14,8,5,3,0,86,6,1,4,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,8589,8,Actual,,,,,6174,5716,7292
